Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
93,Al Jefferson,7,24.0,.506,.692,6.1,1.1,0.6,0.4,0.9,13.3,jeffeal01
94,Richard Jefferson,21,18.1,.589,.750,3.5,0.7,0.5,0.0,0.6,5.4,jefferi01
95,Jonas Jerebko,6,27.0,.554,.800,6.8,1.7,0.3,0.7,0.8,9.2,jerebjo01
96,Amir Johnson,6,22.3,.667,.778,7.2,0.7,0.2,1.3,1.7,8.5,johnsam01
97,James Johnson,10,9.8,.560,.667,1.5,0.6,0.3,0.0,0.7,3.0,johnsja01
98,Joe Johnson,14,35.1,.472,.875,4.7,2.5,0.6,0.2,1.3,12.1,johnsjo02
99,Stanley Johnson,4,20.3,.652,1.000,4.0,0.0,0.3,0.0,0.8,8.0,johnsst04
100,Tyler Johnson,5,12.2,.591,.727,1.4,1.6,0.2,0.0,0.4,4.2,johnsty01
101,Wesley Johnson,6,12.8,.464,1.000,3.0,0.3,0.2,0.7,0.3,2.7,johnswe01
102,Dahntay Jones,15,3.3,.500,.800,0.5,0.1,0.1,0.1,0.1,1.1,jonesda02
103,James Jones,12,4.6,.250,.250,0.3,0.3,0.0,0.0,0.1,0.5,jonesja02
104,DeAndre Jordan,6,33.0,.632,.373,16.3,1.8,1.2,2.7,1.2,11.7,jordade01
105,Cory Joseph,20,22.6,.493,.750,2.1,2.4,0.9,0.1,1.1,8.5,josepco01
106,Chris Kaman,4,8.0,.389,,2.0,0.3,0.5,0.0,1.5,3.5,kamanch01
107,Frank Kaminsky,7,27.1,.359,.810,4.3,1.1,0.9,0.7,0.3,7.1,kaminfr01
108,Kyle Korver,10,31.6,.627,1.000,4.8,1.0,1.0,0.4,0.8,10.3,korveky01
109,Jeremy Lamb,3,4.0,.611,,1.3,0.3,0.0,0.0,0.0,3.7,lambje01
110,Ty Lawson,7,10.6,.333,.667,1.0,1.4,0.4,0.0,0.9,2.3,lawsoty01
111,Courtney Lee,7,36.7,.451,.933,2.9,1.3,0.9,0.4,0.7,8.6,leeco01
112,David Lee,2,16.5,.750,,3.0,0.5,0.0,0.0,0.0,6.0,leeda02
113,Kawhi Leonard,10,33.9,.551,.824,6.3,2.8,2.6,1.4,1.6,22.5,leonaka01
114,Damian Lillard,11,39.7,.455,.910,4.3,6.3,1.3,0.3,3.0,26.5,lillada01
115,Jeremy Lin,7,27.0,.437,.821,2.3,2.6,0.7,0.0,1.6,12.4,linje01
116,Shaun Livingston,24,21.4,.488,.865,3.2,3.3,0.5,0.2,1.2,8.2,livinsh01
117,Kevin Love,20,30.7,.481,.840,8.8,2.1,0.5,0.4,1.4,14.7,loveke01
118,Kyle Lowry,20,38.3,.461,.750,4.7,6.0,1.6,0.2,3.2,19.1,lowryky01
119,Ian Mahinmi,7,24.6,.500,.600,5.1,1.1,0.7,0.9,2.0,8.1,mahinia01
120,Boban Marjanović,7,6.0,.667,.889,2.0,0.4,0.0,0.3,0.4,3.4,marjabo01
121,Jarell Martin,2,23.0,.375,.500,3.5,0.5,1.5,0.0,1.5,4.5,martija01
122,Kevin Martin,5,9.8,.500,.667,0.8,0.6,0.2,0.0,1.2,4.4,martike02
123,Wesley Matthews,5,34.6,.417,.789,3.6,1.2,1.2,0.0,0.8,13.0,matthwe02
124,Luc Mbah a Moute,5,15.6,.667,1.000,2.0,0.2,0.6,0.0,0.4,1.8,mbahalu01
125,James Michael McAdoo,8,4.8,.500,.250,1.0,0.3,0.4,0.3,0.1,0.6,mcadoja01
126,CJ McCollum,11,40.2,.477,.804,3.6,3.3,0.9,0.5,1.8,20.5,mccolcj01
127,K.J. McDaniels,4,8.5,.346,,1.8,0.3,0.0,0.8,0.0,2.3,mcdankj01
128,JaVale McGee,2,7.0,.500,.333,1.5,0.0,0.5,0.0,1.5,2.0,mcgeeja01
129,Jordan McRae,2,2.0,1.125,,1.0,0.0,0.0,0.0,0.0,4.5,mcraejo01
130,Josh McRoberts,10,13.4,.471,1.000,2.6,0.9,0.5,0.5,0.4,3.8,mcrobjo01
131,Jodie Meeks,1,2.0,1.000,,0.0,0.0,0.0,0.0,0.0,2.0,meeksjo01
132,Salah Mejri,4,19.0,.700,.417,3.3,0.3,0.8,1.3,0.0,4.8,mejrisa01
133,Jordan Mickey,2,5.0,.500,,1.0,1.0,0.0,0.5,0.0,2.0,mickejo01
134,C.J. Miles,7,13.1,.289,.667,3.4,0.6,0.1,0.1,0.4,3.4,milescj01
135,Andre Miller,5,7.0,.500,1.000,1.0,1.4,0.0,0.0,0.0,1.8,millean02
136,Patty Mills,10,16.7,.557,.636,1.4,2.0,0.7,0.0,0.8,6.6,millspa02
137,Paul Millsap,10,36.5,.460,.745,9.4,2.7,1.3,2.3,2.6,16.7,millspa01
138,Nazr Mohammed,5,2.0,.500,,0.6,0.0,0.0,0.2,0.2,0.4,mohamna01
139,Luis Montero,6,1.3,1.333,,0.0,0.0,0.0,0.0,0.0,1.3,montelu01
140,Marcus Morris,4,36.0,.543,.870,3.3,2.5,0.5,0.0,1.3,17.8,morrima03
141,Anthony Morrow,14,5.4,.563,1.000,0.1,0.1,0.1,0.0,0.3,2.6,morroan01
142,Donatas Motiejūnas,5,19.6,.486,.471,5.2,1.0,0.8,0.4,2.4,8.8,motiedo01
143,Timofey Mozgov,13,5.8,.400,.750,1.6,0.2,0.2,0.2,0.6,1.2,mozgoti01
144,Xavier Munford,4,22.3,.339,.000,2.3,2.5,1.5,0.8,1.3,4.8,munfoxa02
145,Mike Muscala,9,7.4,.550,1.000,1.9,0.3,0.0,0.1,0.3,2.7,muscami01
146,Lucas Nogueira,5,5.8,.750,,1.6,0.0,0.0,0.0,0.0,1.2,noguelu01
147,Dirk Nowitzki*,5,34.0,.518,.941,4.8,1.6,0.4,0.6,1.4,20.4,nowitdi01
148,Kelly Olynyk,4,8.0,.111,,1.0,0.8,0.3,0.0,1.0,0.5,olynyke01
149,Zaza Pachulia,5,22.4,.375,.882,5.4,3.2,0.6,0.2,0.4,6.6,pachuza01
150,Tony Parker*,10,26.4,.469,.857,2.2,5.3,0.6,0.2,1.8,10.4,parketo01
151,Lamar Patterson,4,5.0,.357,1.000,1.3,0.8,0.3,0.0,1.0,1.5,pattela01
152,Patrick Patterson,20,29.2,.482,.846,3.9,1.2,0.4,0.5,0.9,7.7,pattepa01
153,Chris Paul,4,31.3,.526,1.000,4.0,7.3,2.3,0.0,1.0,23.8,paulch01
154,Cameron Payne,10,6.4,.308,.500,0.4,0.8,0.2,0.2,0.8,1.8,payneca01
155,Paul Pierce*,5,10.8,.208,.250,1.2,0.2,0.4,0.0,0.4,1.2,piercpa01
156,Mason Plumlee,11,27.8,.400,.636,11.8,4.8,0.6,1.0,2.3,7.0,plumlma01
157,Dwight Powell,4,16.0,.474,.545,4.3,1.0,0.3,0.0,0.3,6.0,poweldw01
158,Norman Powell,18,11.4,.436,.875,1.5,0.3,0.7,0.1,0.3,3.8,powelno01
159,Pablo Prigioni,5,5.2,.000,,0.6,1.4,0.0,0.0,0.6,0.0,prigipa01
160,Zach Randolph,4,30.0,.371,.857,8.8,1.8,0.3,0.0,1.8,13.0,randoza01
161,J.J. Redick,6,27.7,.500,.667,2.0,0.8,0.2,0.2,0.8,13.5,redicjj01
162,Josh Richardson,14,27.6,.466,.714,3.6,1.6,0.4,0.9,0.9,6.6,richajo01
163,Austin Rivers,6,24.0,.459,.667,2.7,2.7,0.5,0.0,1.2,10.3,riverau01
164,Andre Roberson,18,26.2,.535,.400,5.6,0.8,1.3,1.1,0.6,5.6,roberan03
165,Brian Roberts,10,3.6,.222,.667,0.1,0.3,0.0,0.0,0.1,0.8,roberbr01
166,Glenn Robinson III,4,2.5,.750,1.000,0.0,0.0,0.0,0.3,0.0,1.8,robingl02
167,Terrence Ross,20,16.8,.475,.650,1.6,0.6,0.7,0.3,0.8,6.3,rosste01
168,Terry Rozier,5,19.8,.478,1.000,3.4,1.2,0.2,0.6,0.4,4.8,roziete01
169,Brandon Rush,14,7.9,.550,.500,1.6,0.2,0.1,0.1,0.1,1.6,rushbr01
170,Dennis Schröder,10,19.1,.510,.846,1.9,3.6,0.4,0.1,2.1,11.7,schrode01
171,Luis Scola,11,12.7,.323,.727,1.6,0.6,0.3,0.0,0.5,2.5,scolalu01
172,Mike Scott,10,16.1,.725,.875,3.2,0.5,0.3,0.3,0.8,6.5,scottmi01
173,Thabo Sefolosha,10,20.3,.554,.533,4.1,1.7,1.0,0.6,1.0,5.9,sefolth01
174,Iman Shumpert,21,17.5,.525,.636,2.2,0.8,0.5,0.1,0.6,3.3,shumpim01
175,Jonathon Simmons,3,8.7,.500,.500,1.3,0.7,0.7,0.0,0.3,3.7,simmojo02
176,Kyle Singler,6,8.5,.444,.000,1.2,0.0,0.2,0.0,0.0,1.3,singlky01
177,Marcus Smart,6,32.2,.458,.810,4.5,3.0,1.7,0.8,2.5,12.0,smartma01
178,J.R. Smith,21,34.8,.609,.619,3.2,1.4,1.2,0.2,0.5,11.5,smithjr01
179,Josh Smith,4,9.5,.615,.000,0.5,1.0,0.3,0.3,1.3,4.0,smithjo03
180,Marreese Speights,24,8.4,.466,.774,2.0,0.5,0.1,0.3,0.8,5.6,speigma01
181,Lance Stephenson,4,23.8,.545,.800,1.5,1.8,0.3,0.0,0.8,13.0,stephla01
182,Amar'e Stoudemire,9,9.1,.579,1.000,1.4,0.0,0.6,0.3,1.0,3.3,stoudam01
183,Rodney Stuckey,7,17.9,.453,.556,2.1,2.0,0.6,0.1,0.9,6.3,stuckro01
184,Jared Sullinger,6,13.5,.333,.750,4.5,1.2,0.2,0.0,1.0,5.2,sullija01
185,Jeff Teague,10,27.9,.417,.846,1.9,6.2,0.6,0.2,2.5,14.5,teaguje01
186,Jason Terry,5,24.8,.421,1.000,2.2,1.2,0.4,0.2,0.6,7.0,terryja01
187,Isaiah Thomas,6,36.7,.450,.809,3.0,5.0,0.7,0.8,2.3,24.2,thomais02
188,Jason Thompson,10,5.5,.444,.000,1.1,0.1,0.0,0.1,0.1,0.8,thompja02
189,Klay Thompson,24,35.4,.552,.854,3.7,2.3,1.1,0.4,2.0,24.3,thompkl01
190,Tristan Thompson,21,29.6,.527,.575,9.0,0.7,0.4,0.9,0.8,6.7,thomptr01
191,Anthony Tolliver,3,8.7,.500,,1.3,0.3,0.0,0.3,0.0,1.3,tollian01
192,Evan Turner,6,35.7,.382,.778,5.7,4.5,1.3,1.0,2.8,13.2,turneev01
193,Myles Turner,7,28.1,.465,.667,6.4,0.4,0.3,3.3,1.7,10.3,turnemy01
194,Jonas Valančiūnas,12,26.8,.567,.744,10.8,0.9,0.8,1.2,1.5,13.8,valanjo01
195,Anderson Varejão,17,5.5,.357,.526,1.2,0.8,0.1,0.1,0.1,1.2,varejan01
196,Charlie Villanueva,4,5.0,.292,1.000,0.5,0.3,0.0,0.0,0.3,2.3,villach01
197,Noah Vonleh,6,2.0,.000,,0.7,0.3,0.3,0.0,0.0,0.0,vonleno01
198,Dwyane Wade*,14,33.8,.492,.781,5.6,4.3,0.8,0.9,2.7,21.4,wadedw01
199,Dion Waiters,18,27.3,.496,.667,2.6,2.3,0.6,0.2,1.1,8.4,waitedi01
200,Kemba Walker,7,37.1,.412,.943,3.0,4.0,1.3,0.6,1.7,22.7,walkeke02
201,Briante Weber,2,3.0,.000,,0.0,0.5,0.5,0.0,0.0,0.0,weberbr01
202,David West,10,17.6,.482,.556,3.7,1.3,0.6,0.7,0.7,5.8,westda01
203,Russell Westbrook,18,37.4,.448,.829,6.9,11.0,2.6,0.1,4.3,26.0,westbru01
204,Hassan Whiteside,10,29.1,.681,.591,10.9,0.3,0.8,2.8,1.3,12.0,whiteha01
205,C.J. Wilcox,2,3.5,.000,,0.5,0.5,0.0,0.0,0.0,0.0,wilcocj01
206,Deron Williams,3,16.3,.417,,0.7,2.7,0.3,0.0,2.3,5.0,willide01
207,Marvin Williams,7,32.6,.333,.500,6.9,0.9,0.9,0.4,0.3,5.1,willima02
208,Mo Williams,13,5.2,.339,.500,0.5,0.2,0.3,0.0,0.8,1.5,willima01
209,Justise Winslow,13,25.4,.466,.700,4.8,0.6,0.6,0.3,0.9,6.9,winslju01
210,Delon Wright,9,4.6,.300,.615,0.4,0.3,0.3,0.0,0.2,1.6,wrighde01
211,Dorell Wright,5,3.8,.600,1.000,1.2,0.4,0.0,0.0,0.0,3.2,wrighdo01
212,James Young,3,3.3,.333,,0.0,0.0,0.0,0.0,0.3,0.7,youngja01
213,Joe Young,4,2.5,.438,1.000,0.3,0.3,0.0,0.0,0.5,2.3,youngjo01
214,Cody Zeller,7,19.6,.553,.810,5.3,0.3,0.1,0.4,1.0,8.4,zelleco01
215,Tyler Zeller,3,12.7,.467,.667,5.0,0.7,0.0,0.7,0.7,6.0,zellety01
