Player,G,MP,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Austin Rivers,4,11.5,.625,,0.3,1.0,1.3,0.3,0.3,0.0,0.3,2.5,riverau01
Duncan Robinson,23,18.2,.633,.875,0.0,1.4,1.5,1.7,0.3,0.1,0.9,9.0,robindu01
Mitchell Robinson,11,27.1,.604,.394,5.0,4.3,9.3,0.8,0.6,1.5,0.9,6.5,robinmi01
David Roddy,6,12.7,.379,1.000,0.7,2.2,2.8,0.7,0.0,0.3,0.2,3.8,roddyda01
Derrick Rose,1,3.0,.000,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,rosede01
Terrence Ross,6,11.5,.407,,0.0,1.3,1.3,0.2,0.2,0.3,0.2,3.7,rosste01
Ricky Rubio,3,5.7,.000,,0.7,1.3,2.0,1.0,0.3,0.0,1.7,0.0,rubiori01
D'Angelo Russell,16,29.6,.495,.769,0.6,2.3,2.9,4.6,0.7,0.3,1.8,13.3,russeda01
Domantas Sabonis,7,34.7,.500,.571,4.4,6.6,11.0,4.7,1.4,0.9,3.7,16.4,sabondo01
Dennis Schröder,16,26.1,.461,.821,0.2,1.8,1.9,2.9,1.0,0.2,1.3,7.4,schrode01
Landry Shamet,10,18.4,.500,.750,0.3,1.4,1.7,1.1,0.2,0.1,0.4,4.8,shamela01
Day'Ron Sharpe,2,10.0,.667,1.000,1.0,2.0,3.0,2.5,0.0,0.5,1.0,3.0,sharpda01
Marcus Smart,20,34.0,.552,.800,1.1,3.0,4.0,5.1,1.3,0.3,2.3,14.9,smartma01
Ish Smith,4,3.0,.500,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.5,smithis01
Jaden Springer,4,4.3,1.000,.500,0.0,0.0,0.0,0.0,0.3,0.0,0.3,2.3,sprinja01
Lamar Stevens,2,4.5,.750,1.000,0.0,1.5,1.5,0.0,0.0,0.0,0.0,2.5,stevela01
Max Strus,23,28.2,.516,.800,0.6,3.0,3.6,1.4,0.3,0.3,0.3,9.3,strusma01
Edmond Sumner,1,4.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sumneed01
Jayson Tatum,20,40.0,.524,.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,27.2,tatumja01
Cam Thomas,2,8.0,.429,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,3.0,thomaca02
Klay Thompson,13,36.0,.502,.875,0.1,4.1,4.2,2.2,0.5,0.3,2.0,18.5,thompkl01
Tristan Thompson,6,5.3,.455,.200,0.7,1.0,1.7,0.3,0.0,0.0,0.2,1.8,thomptr01
Xavier Tillman Sr.,6,30.5,.544,.600,2.8,5.2,8.0,3.2,0.7,0.7,0.7,8.7,tillmxa01
Obi Toppin,11,15.9,.521,.800,0.9,2.6,3.5,0.6,0.7,0.3,0.7,7.0,toppiob01
Karl-Anthony Towns,5,36.0,.500,.750,1.2,9.0,10.2,2.0,0.6,0.8,3.6,18.2,townska01
P.J. Tucker,11,26.7,.510,.667,1.6,2.9,4.5,1.5,1.2,0.3,0.5,4.9,tuckepj01
Jarred Vanderbilt,15,16.5,.458,.700,1.3,1.9,3.2,0.8,0.7,0.8,0.9,4.6,vandeja01
Gabe Vincent,22,30.5,.506,.882,0.4,1.0,1.4,3.5,0.9,0.2,1.4,12.7,vincega01
Dean Wade,2,5.5,.000,1.000,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.0,wadede01
Ish Wainright,6,3.5,.375,,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.5,wainris01
Lonnie Walker IV,13,13.8,.592,.750,0.1,0.8,0.9,0.8,0.5,0.1,0.3,6.2,walkelo01
T.J. Warren,6,13.5,.342,.750,0.3,0.8,1.2,0.5,0.2,0.5,0.2,2.7,warretj01
Yuta Watanabe,1,5.0,.750,.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,watanyu01
Peyton Watson,5,2.8,.500,,0.2,0.6,0.8,0.2,0.0,0.2,0.2,1.0,watsope01
Russell Westbrook,5,38.4,.457,.880,1.8,5.8,7.6,7.4,1.2,1.4,4.0,23.6,westbru01
Derrick White,20,29.7,.641,.912,0.7,2.3,3.0,2.1,0.6,1.0,0.9,13.4,whitede01
Andrew Wiggins,13,34.0,.511,.681,1.8,3.8,5.6,1.9,0.8,1.2,1.3,16.7,wiggian01
Grant Williams,15,17.7,.642,.800,0.7,1.5,2.2,1.2,0.3,0.4,0.3,5.1,willigr01
Robert Williams,20,20.9,.788,.679,1.8,4.2,6.0,1.0,0.5,1.3,0.8,7.7,williro04
Ziaire Williams,4,3.0,.357,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.3,willizi02
Trae Young,6,38.3,.463,.860,0.8,2.8,3.7,10.2,1.7,0.7,4.0,29.2,youngtr01
Omer Yurtseven,8,2.0,.286,,0.4,0.3,0.6,0.1,0.0,0.1,0.1,0.5,yurtsom01
Cody Zeller,21,8.3,.571,.400,0.5,1.8,2.3,0.3,0.1,0.2,0.6,2.2,zelleco01
Ivica Zubac,5,26.0,.567,.750,3.2,6.4,9.6,0.6,0.6,0.2,2.2,9.2,zubaciv01
