Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Moses Moody,13,8.1,.661,.667,0.6,0.3,0.2,0.2,0.2,3.2,moodymo01
Ja Morant,9,37.6,.486,.747,8.0,9.8,2.0,0.4,3.6,27.1,moranja01
Juwan Morgan,9,1.7,.000,.500,0.3,0.0,0.0,0.0,0.0,0.1,morgaju01
Markieff Morris,1,3.0,.000,,1.0,0.0,0.0,0.0,1.0,0.0,morrima02
Monte Morris,5,31.2,.598,.750,2.2,5.4,1.2,0.0,1.6,14.0,morrimo01
Trey Murphy III,6,20.0,.614,.800,2.5,0.5,0.5,0.2,0.2,5.2,murphtr02
Svi Mykhailiuk,3,1.7,.000,1.000,0.3,0.0,0.0,0.0,0.0,0.3,mykhasv01
Larry Nance Jr.,6,21.7,.590,.818,5.8,1.8,0.5,0.3,1.0,9.2,nancela02
Aaron Nesmith,15,3.5,.265,.750,1.0,0.2,0.1,0.3,0.1,0.8,nesmiaa01
Georges Niang,12,16.5,.583,1.000,1.5,0.9,0.3,0.0,0.6,4.8,niangge01
Zeke Nnaji,2,4.5,1.500,,0.0,0.0,0.0,0.0,0.0,1.5,nnajize01
Jaylen Nowell,1,12.0,.300,,0.0,1.0,1.0,0.0,0.0,6.0,nowelja01
Frank Ntilikina,12,10.4,.458,1.000,1.0,0.8,0.7,0.1,0.5,1.9,ntilila01
Jordan Nwora,8,2.5,.222,.000,0.4,0.3,0.0,0.0,0.0,0.5,nworajo01
Royce O'Neale,6,31.3,.500,1.000,5.7,1.5,0.5,0.2,0.5,6.2,onealro01
Josh Okogie,1,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,okogijo01
Onyeka Okongwu,5,21.6,.563,.800,5.4,0.4,0.8,0.8,0.8,5.2,okongon01
Victor Oladipo,15,24.5,.430,.792,3.4,2.1,1.3,0.3,1.7,10.6,oladivi01
Eric Paschall,4,6.0,.583,1.000,1.3,0.0,0.3,0.0,0.0,2.0,pascher01
Chris Paul,13,34.5,.623,.946,4.2,8.3,1.5,0.2,2.4,17.5,paulch01
Cameron Payne,13,13.2,.331,.833,1.5,2.1,0.5,0.1,1.0,4.2,payneca01
Elfrid Payton,2,4.0,.667,,0.0,1.5,0.0,0.0,0.0,2.0,paytoel01
Gary Payton II,12,16.9,.750,.667,3.1,1.3,1.2,0.6,0.5,6.5,paytoga02
Jordan Poole,22,27.5,.606,.915,2.8,3.8,0.8,0.4,2.4,17.0,poolejo01
Otto Porter Jr.,19,19.5,.617,.778,3.4,1.8,0.9,0.3,0.6,5.4,porteot01
