Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Jaylen Brown,58,34.5,.558,.764,6.0,3.4,1.2,0.6,2.7,24.7,brownja02
Moses Brown,43,21.4,.545,.619,8.9,0.2,0.7,1.1,1.0,8.6,brownmo01
Sterling Brown,51,24.1,.584,.806,4.4,1.4,0.7,0.2,0.8,8.2,brownst02
Troy Brown Jr.,34,15.4,.507,.714,3.1,0.9,0.3,0.2,0.6,4.7,browntr01
Troy Brown Jr.,21,13.7,.449,.667,2.9,0.9,0.1,0.2,0.8,4.3,browntr01
Troy Brown Jr.,13,18.2,.600,.833,3.4,0.8,0.5,0.2,0.4,5.5,browntr01
Jalen Brunson,68,25.0,.588,.795,3.4,3.5,0.5,0.0,1.2,12.6,brunsja01
Elijah Bryant,1,32.0,.500,1.000,6.0,3.0,0.0,1.0,4.0,16.0,bryanel01
Thomas Bryant,10,27.1,.698,.667,6.1,1.5,0.4,0.8,1.1,14.3,bryanth01
Reggie Bullock,65,30.0,.587,.909,3.4,1.5,0.8,0.2,0.7,10.9,bullore01
Trey Burke,62,14.7,.510,.895,0.9,1.3,0.6,0.1,0.5,6.6,burketr01
Alec Burks,49,25.6,.522,.856,4.6,2.2,0.6,0.3,1.0,12.7,burksal01
Jimmy Butler,52,33.6,.514,.863,6.9,7.1,2.1,0.3,2.1,21.5,butleji01
Bruno Caboclo,6,6.0,.471,.500,2.3,0.2,0.0,0.3,0.7,2.8,cabocbr01
Devontae Cacok,20,4.9,.586,.455,1.6,0.1,0.3,0.2,0.3,2.0,cacokde01
Kentavious Caldwell-Pope,67,28.4,.549,.866,2.7,1.9,0.9,0.4,1.0,9.7,caldwke01
Facundo Campazzo,65,21.9,.502,.879,2.1,3.6,1.2,0.2,1.1,6.1,campafa01
Vlatko Čančar,41,6.9,.521,.769,1.2,0.3,0.3,0.0,0.3,2.1,cancavl01
Devin Cannady,8,9.3,.500,.857,0.6,0.1,0.6,0.1,0.3,4.3,cannade01
Clint Capela,63,30.1,.594,.573,14.3,0.8,0.7,2.0,1.2,15.2,capelca01
Vernon Carey Jr.,19,6.1,.514,.818,1.4,0.1,0.1,0.3,0.3,2.4,careyve01
Jevon Carter,60,12.0,.547,.571,1.5,1.2,0.5,0.2,0.3,4.1,carteje01
Wendell Carter Jr.,54,25.5,.520,.732,8.2,1.9,0.6,0.8,1.4,11.2,cartewe01
Wendell Carter Jr.,32,24.8,.528,.739,7.8,2.2,0.6,0.8,1.5,10.9,cartewe01
Wendell Carter Jr.,22,26.5,.510,.721,8.8,1.6,0.8,0.8,1.3,11.7,cartewe01
Michael Carter-Williams,31,25.8,.417,.613,4.5,4.2,0.8,0.5,2.2,8.8,cartemi01
Alex Caruso,58,21.0,.526,.645,2.9,2.8,1.1,0.3,1.3,6.4,carusal01
Willie Cauley-Stein,53,17.1,.635,.628,4.5,0.7,0.4,0.8,0.5,5.3,caulewi01
Chris Chiozza,22,10.5,.426,.765,1.1,3.0,0.3,0.3,0.7,4.0,chiozch01
Marquese Chriss,2,13.5,.393,.500,6.5,1.0,0.0,1.0,1.0,6.5,chrisma01
Gary Clark,39,16.8,.420,.800,2.9,0.8,0.3,0.2,0.4,3.1,clarkga01
Gary Clark,35,18.2,.424,.800,3.2,0.9,0.3,0.2,0.5,3.4,clarkga01
Gary Clark,2,2.0,,,0.5,0.0,0.0,0.0,0.0,0.0,clarkga01
Gary Clark,2,6.5,.000,,1.0,0.5,0.5,0.0,0.0,0.0,clarkga01
Brandon Clarke,59,24.0,.537,.690,5.6,1.6,1.0,0.9,0.6,10.3,clarkbr01
Jordan Clarkson,68,26.7,.522,.896,4.0,2.5,0.9,0.1,1.7,18.4,clarkjo01
Nic Claxton,32,18.6,.624,.484,5.2,0.9,0.7,1.3,0.6,6.6,claxtni01
Amir Coffey,44,9.0,.549,.711,1.0,0.5,0.2,0.0,0.3,3.2,coffeam01
John Collins,63,29.3,.610,.833,7.4,1.2,0.5,1.0,1.3,17.6,collijo01
Mike Conley,51,29.4,.552,.852,3.5,6.0,1.4,0.2,1.9,16.2,conlemi01
Pat Connaughton,69,22.8,.565,.775,4.8,1.2,0.7,0.3,0.5,6.8,connapa01
Quinn Cook,23,6.8,.507,.875,0.7,0.8,0.2,0.0,0.3,3.3,cookqu01
Quinn Cook,16,3.9,.558,.800,0.3,0.3,0.1,0.1,0.2,2.1,cookqu01
Quinn Cook,7,13.6,.476,1.000,1.7,1.9,0.4,0.0,0.6,6.1,cookqu01
Tyler Cook,32,13.7,.675,.486,3.0,0.5,0.3,0.1,0.7,4.9,cookty01
Tyler Cook,4,4.3,.333,,0.5,0.5,0.0,0.0,0.3,0.5,cookty01
Tyler Cook,28,15.0,.685,.486,3.3,0.5,0.3,0.1,0.7,5.5,cookty01
DeMarcus Cousins,41,17.4,.503,.728,6.4,1.9,0.8,0.6,1.6,8.9,couside01
DeMarcus Cousins,25,20.2,.469,.746,7.6,2.4,0.8,0.7,1.6,9.6,couside01
DeMarcus Cousins,16,12.9,.579,.682,4.5,1.0,0.8,0.4,1.6,7.8,couside01
Robert Covington,70,32.0,.533,.806,6.7,1.7,1.4,1.2,0.9,8.5,covinro01
Torrey Craig,50,16.1,.566,.773,3.9,1.0,0.6,0.5,0.5,5.5,craigto01
Torrey Craig,18,11.2,.478,.500,2.4,0.9,0.5,0.4,0.3,2.5,craigto01
Torrey Craig,32,18.8,.588,.800,4.8,1.0,0.6,0.6,0.6,7.2,craigto01
Jae Crowder,60,27.5,.555,.760,4.7,2.1,0.8,0.5,0.9,10.1,crowdja01
Jarrett Culver,34,14.7,.449,.604,3.1,0.7,0.5,0.3,0.8,5.3,culveja01
Seth Curry,57,28.7,.582,.896,2.4,2.7,0.8,0.1,1.1,12.5,curryse01
Stephen Curry,63,34.2,.605,.916,5.5,5.8,1.2,0.1,3.4,32.0,curryst01
Nate Darling,7,3.7,.429,1.000,0.1,0.1,0.0,0.1,0.1,1.3,darlina01
Anthony Davis,36,32.3,.512,.738,7.9,3.1,1.3,1.6,2.1,21.8,davisan02
Ed Davis,23,13.0,.432,.833,5.0,0.9,0.6,0.6,0.3,2.1,davised01
Terence Davis,61,17.6,.535,.818,2.5,1.4,0.7,0.2,1.0,8.7,daviste02
Terence Davis,34,14.5,.519,.889,1.9,1.1,0.5,0.2,0.9,6.9,daviste02
Terence Davis,27,21.5,.549,.784,3.3,1.7,1.0,0.3,1.3,11.1,daviste02
Gabriel Deck,10,21.2,.493,.818,4.0,2.4,0.8,0.0,0.6,8.4,deckga01
Dewayne Dedmon,16,13.1,.715,.741,5.4,0.8,0.6,0.4,0.8,7.1,dedmode01
Matthew Dellavedova,13,17.2,.286,1.000,1.8,4.5,0.3,0.1,0.5,2.8,dellama01
DeMar DeRozan,61,33.7,.505,.880,4.2,6.9,0.9,0.2,2.0,21.6,derozde01
Mamadi Diakite,14,10.1,.413,.786,2.4,0.6,0.5,0.4,0.2,3.1,diakima01
Hamidou Diallo,52,23.6,.506,.640,5.2,1.9,0.8,0.5,1.5,11.6,diallha01
Hamidou Diallo,32,23.8,.502,.629,5.2,2.4,1.0,0.4,1.5,11.9,diallha01
Hamidou Diallo,20,23.3,.514,.662,5.4,1.2,0.5,0.6,1.4,11.2,diallha01
Gorgui Dieng,38,14.5,.613,.866,3.7,1.3,0.7,0.4,0.8,6.8,dienggo01
Gorgui Dieng,22,16.9,.625,.884,4.5,1.3,0.8,0.6,1.0,7.9,dienggo01
Gorgui Dieng,16,11.3,.591,.833,2.6,1.2,0.6,0.1,0.6,5.3,dienggo01
Spencer Dinwiddie,3,21.3,.438,1.000,4.3,3.0,0.7,0.3,1.7,6.7,dinwisp01
Donte DiVincenzo,66,27.5,.528,.718,5.8,3.1,1.1,0.2,1.4,10.4,divindo01
Luka Dončić,66,34.3,.550,.730,8.0,8.6,1.0,0.5,4.3,27.7,doncilu01
Luguentz Dort,52,29.7,.475,.744,3.6,1.7,0.9,0.4,1.5,14.0,dortlu01
Damyean Dotson,46,19.7,.485,.667,2.0,2.0,0.3,0.1,0.9,6.7,dotsoda01
Devon Dotson,11,4.5,.548,,0.5,0.6,0.4,0.0,0.0,2.1,dotsode01
Sekou Doumbouya,56,15.5,.426,.703,2.6,0.8,0.4,0.2,0.8,5.1,doumbse01
PJ Dozier,50,21.8,.483,.636,3.6,1.8,0.6,0.4,0.9,7.7,doziepj01
Goran Dragić,50,26.7,.514,.828,3.4,4.4,0.7,0.2,2.4,13.4,dragigo01
Andre Drummond,46,27.0,.493,.600,12.0,2.0,1.4,1.1,2.7,14.9,drumman01
Andre Drummond,25,28.9,.474,.597,13.5,2.6,1.6,1.2,3.2,17.5,drumman01
Andre Drummond,21,24.8,.531,.605,10.2,1.4,1.1,1.0,2.0,11.9,drumman01
Jared Dudley,12,6.8,.333,,1.8,0.4,0.1,0.1,0.2,0.5,dudleja01
Kris Dunn,4,11.3,.083,.750,1.5,0.5,0.5,0.5,0.8,1.3,dunnkr01
Kevin Durant,35,33.1,.608,.882,7.1,5.6,0.7,1.3,3.4,26.9,duranke01
Anthony Edwards,72,32.1,.488,.776,4.7,2.9,1.1,0.5,2.2,19.3,edwaran01
Carsen Edwards,31,8.9,.505,.846,0.8,0.5,0.2,0.0,0.2,4.0,edwarca01
CJ Elleby,30,6.4,.432,.733,1.1,0.3,0.2,0.1,0.2,2.3,ellebcj01
Henry Ellenson,2,19.0,.429,.750,6.0,2.5,0.0,0.0,0.0,7.5,ellenhe01
Wayne Ellington,46,22.0,.612,.800,1.8,1.5,0.4,0.2,0.7,9.6,ellinwa01
Joel Embiid,51,31.1,.545,.859,10.6,2.8,1.0,1.4,3.1,28.5,embiijo01
James Ennis III,41,24.0,.566,.805,4.0,1.5,0.8,0.2,0.9,8.4,ennisja01
Drew Eubanks,54,14.0,.571,.726,4.5,0.8,0.3,0.9,0.8,5.8,eubandr01
Dante Exum,6,19.3,.423,.500,2.8,2.2,0.7,0.3,1.2,3.8,exumda01
Tacko Fall,19,7.2,.724,.333,2.7,0.2,0.1,1.1,0.3,2.5,fallta01
Derrick Favors,68,15.3,.638,.738,5.5,0.6,0.5,1.0,0.5,5.4,favorde01
Cristiano Felício,18,4.7,.538,.563,1.4,0.5,0.2,0.0,0.2,1.3,feliccr01
Terrance Ferguson,13,3.8,.143,,0.1,0.2,0.1,0.0,0.3,0.2,fergute01
