Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
98,Zylan Cheatham,4,12.8,.667,,2.3,0.8,0.3,0.3,1.0,3.0,cheatzy01
99,Chris Chiozza,28,14.3,.489,1.000,1.9,3.0,0.8,0.1,1.1,5.1,chiozch01
99,Chris Chiozza,10,12.3,.397,,1.5,2.8,1.0,0.2,0.9,2.7,chiozch01
99,Chris Chiozza,18,15.4,.519,1.000,2.1,3.1,0.6,0.1,1.3,6.4,chiozch01
100,Marquese Chriss,59,20.3,.556,.769,6.2,1.9,0.7,1.1,1.3,9.3,chrisma01
101,Gary Clark,42,13.5,.553,.900,2.6,0.4,0.1,0.5,0.2,3.7,clarkga01
101,Gary Clark,18,11.8,.542,.857,2.2,0.7,0.1,0.4,0.1,3.9,clarkga01
101,Gary Clark,24,14.8,.561,1.000,2.9,0.2,0.2,0.6,0.3,3.6,clarkga01
102,Brandon Clarke,58,22.4,.642,.759,5.9,1.4,0.6,0.8,0.9,12.1,clarkbr01
103,Jordan Clarkson,71,24.0,.542,.836,2.6,1.9,0.6,0.2,1.4,15.2,clarkjo01
103,Jordan Clarkson,29,23.0,.532,.884,2.4,2.4,0.6,0.3,1.3,14.6,clarkjo01
103,Jordan Clarkson,42,24.7,.548,.785,2.8,1.6,0.7,0.2,1.4,15.6,clarkjo01
104,Nic Claxton,15,12.5,.573,.524,2.9,1.1,0.1,0.5,0.6,4.4,claxtni01
105,Chris Clemons,33,8.8,.532,.909,0.9,0.8,0.3,0.2,0.6,4.9,clemoch01
106,Antonius Cleveland,11,4.2,.286,.600,0.6,0.1,0.1,0.3,0.2,1.0,clevean01
107,Amir Coffey,18,8.8,.481,.545,0.9,0.8,0.3,0.1,0.4,3.2,coffeam01
108,John Collins,41,33.2,.632,.800,10.1,1.5,0.8,1.6,1.8,21.6,collijo01
109,Zach Collins,11,26.4,.522,.750,6.3,1.5,0.5,0.5,1.3,7.0,colliza01
110,Mike Conley,47,29.0,.494,.827,3.2,4.4,0.8,0.1,2.0,14.4,conlemi01
111,Pat Connaughton,67,18.6,.547,.775,4.2,1.6,0.4,0.5,0.8,5.4,connapa01
112,Quinn Cook,44,11.5,.498,.786,1.2,1.1,0.3,0.0,0.8,5.1,cookqu01
113,Tyler Cook,13,4.2,.667,.875,1.1,0.1,0.2,0.0,0.2,1.8,cookty01
113,Tyler Cook,11,3.2,.700,.833,0.9,0.1,0.1,0.0,0.1,1.7,cookty01
113,Tyler Cook,2,9.5,.500,1.000,2.0,0.0,1.0,0.0,1.0,2.0,cookty01
114,Robert Covington,70,30.5,.533,.798,6.6,1.3,1.6,1.3,1.5,12.4,covinro01
114,Robert Covington,48,29.4,.544,.798,6.0,1.2,1.7,0.9,1.5,12.8,covinro01
114,Robert Covington,22,33.0,.509,.800,8.0,1.5,1.6,2.2,1.4,11.6,covinro01
115,Allen Crabbe,37,17.6,.458,.714,2.1,0.9,0.4,0.1,0.5,4.6,crabbal01
115,Allen Crabbe,28,18.6,.469,.750,2.3,1.0,0.5,0.1,0.4,5.1,crabbal01
115,Allen Crabbe,9,14.6,.412,.500,1.3,0.6,0.0,0.0,0.6,3.2,crabbal01
116,Torrey Craig,58,18.5,.545,.611,3.3,0.8,0.4,0.6,0.4,5.4,craigto01
117,Jamal Crawford,1,6.0,.625,,0.0,3.0,0.0,0.0,0.0,5.0,crawfja01
118,Jae Crowder,65,28.8,.521,.776,5.9,2.5,1.1,0.4,1.1,10.5,crowdja01
118,Jae Crowder,45,29.4,.466,.789,6.2,2.8,1.0,0.3,1.2,9.9,crowdja01
118,Jae Crowder,20,27.7,.655,.733,5.4,1.8,1.3,0.5,0.8,11.9,crowdja01
119,Jarrett Culver,63,23.9,.462,.462,3.4,1.7,0.9,0.6,1.3,9.2,culveja01
120,Seth Curry,64,24.6,.621,.825,2.3,1.9,0.6,0.1,1.0,12.4,curryse01
121,Stephen Curry,5,27.8,.476,1.000,5.2,6.6,1.0,0.4,3.2,20.8,curryst01
122,Troy Daniels,47,11.3,.511,.625,1.1,0.4,0.2,0.1,0.3,4.3,danietr01
122,Troy Daniels,41,11.1,.519,.625,1.1,0.3,0.2,0.1,0.2,4.2,danietr01
122,Troy Daniels,6,12.7,.464,,1.0,0.5,0.5,0.0,0.5,4.3,danietr01
123,Anthony Davis,62,34.4,.536,.846,9.3,3.2,1.5,2.3,2.5,26.1,davisan02
124,Ed Davis,28,10.8,.478,.500,3.8,0.4,0.4,0.3,0.5,1.8,davised01
125,Terence Davis,72,16.8,.564,.864,3.3,1.6,0.5,0.2,1.1,7.5,daviste02
126,Dewayne Dedmon,44,17.6,.443,.833,5.7,0.5,0.6,0.9,1.3,5.8,dedmode01
126,Dewayne Dedmon,34,15.9,.444,.821,4.9,0.4,0.4,0.8,1.4,5.1,dedmode01
126,Dewayne Dedmon,10,23.3,.440,.875,8.2,0.7,1.0,1.5,1.0,8.1,dedmode01
127,Matthew Dellavedova,57,14.4,.414,.865,1.3,3.2,0.4,0.0,1.0,3.1,dellama01
128,DeMar DeRozan,68,34.1,.535,.845,5.5,5.6,1.0,0.3,2.4,22.1,derozde01
129,Cheick Diallo,47,10.2,.651,.872,2.8,0.5,0.2,0.3,0.7,4.7,diallch01
130,Hamidou Diallo,46,19.5,.473,.603,3.6,0.8,0.8,0.2,1.1,6.9,diallha01
131,Gorgui Dieng,63,17.4,.530,.772,5.6,1.2,0.8,0.9,1.0,7.4,dienggo01
131,Gorgui Dieng,46,16.9,.531,.797,5.6,1.3,0.8,0.9,1.0,7.4,dienggo01
131,Gorgui Dieng,17,18.7,.529,.738,5.8,0.9,0.8,1.0,0.9,7.2,dienggo01
132,Spencer Dinwiddie,64,31.2,.476,.778,3.5,6.8,0.6,0.3,2.7,20.6,dinwisp01
133,Donte DiVincenzo,66,23.0,.536,.733,4.8,2.3,1.3,0.3,1.4,9.2,divindo01
134,Luka Dončić,61,33.6,.531,.758,9.4,8.8,1.0,0.2,4.3,28.8,doncilu01
135,Luguentz Dort,36,22.8,.463,.792,2.3,0.8,0.9,0.1,0.6,6.8,dortlu01
136,Damyean Dotson,48,17.4,.516,.667,1.9,1.2,0.5,0.1,0.4,6.7,dotsoda01
137,Sekou Doumbouya,38,19.8,.449,.674,3.1,0.5,0.5,0.2,0.9,6.4,doumbse01
138,PJ Dozier,29,14.2,.468,.724,1.9,2.2,0.5,0.2,0.9,5.8,doziepj01
139,Goran Dragić,59,28.2,.526,.776,3.2,5.1,0.7,0.2,2.4,16.2,dragigo01
140,Andre Drummond,57,33.0,.536,.575,15.2,2.7,1.9,1.6,3.6,17.7,drumman01
140,Andre Drummond,49,33.8,.531,.584,15.8,2.8,2.0,1.7,3.6,17.8,drumman01
140,Andre Drummond,8,28.1,.571,.513,11.1,1.8,1.5,1.4,3.6,17.5,drumman01
141,Jared Dudley,45,8.1,.550,1.000,1.2,0.6,0.3,0.1,0.2,1.5,dudleja01
142,Kris Dunn,51,24.9,.487,.741,3.6,3.4,2.0,0.3,1.3,7.3,dunnkr01
143,Carsen Edwards,37,9.5,.422,.684,1.3,0.6,0.3,0.1,0.4,3.3,edwarca01
144,Henry Ellenson,5,3.0,.143,,1.2,0.2,0.0,0.0,0.0,0.4,ellenhe01
145,Wayne Ellington,36,15.5,.494,.846,1.8,1.2,0.4,0.1,0.5,5.1,ellinwa01
146,Joel Embiid,51,29.5,.512,.807,11.6,3.0,0.9,1.3,3.1,23.0,embiijo01
147,James Ennis III,69,18.3,.522,.806,3.6,0.9,0.5,0.3,0.8,6.6,ennisja01
147,James Ennis III,49,15.8,.524,.787,3.1,0.8,0.5,0.3,0.6,5.8,ennisja01
147,James Ennis III,20,24.5,.519,.838,4.8,1.1,0.6,0.4,1.4,8.5,ennisja01
148,Drew Eubanks,22,12.4,.649,.769,3.9,0.7,0.2,0.8,1.0,4.9,eubandr01
149,Jacob Evans,29,14.4,.384,.862,1.4,1.1,0.4,0.4,0.9,4.4,evansja02
149,Jacob Evans,27,15.3,.387,.862,1.5,1.1,0.4,0.4,0.9,4.7,evansja02
149,Jacob Evans,2,2.0,.000,,0.0,0.0,0.0,0.0,0.0,0.0,evansja02
150,Dante Exum,35,13.9,.534,.744,1.9,1.1,0.4,0.2,0.9,4.5,exumda01
150,Dante Exum,11,7.5,.478,1.000,1.1,0.6,0.1,0.2,0.9,2.2,exumda01
150,Dante Exum,24,16.8,.547,.732,2.3,1.4,0.5,0.3,0.9,5.6,exumda01
151,Tacko Fall,7,4.7,.786,.333,2.1,0.1,0.1,0.6,0.4,3.3,fallta01
152,Derrick Favors,51,24.4,.618,.563,9.8,1.6,0.6,0.9,1.1,9.0,favorde01
153,Cristiano Felício,22,17.5,.630,.783,4.6,0.7,0.5,0.1,0.8,3.9,feliccr01
154,Terrance Ferguson,56,22.4,.466,.750,1.3,0.9,0.5,0.3,0.6,3.9,fergute01
155,Bruno Fernando,56,12.7,.530,.569,3.5,0.9,0.3,0.3,0.8,4.3,fernabr01
156,Yogi Ferrell,50,10.6,.484,.857,1.0,1.4,0.4,0.1,0.6,4.4,ferreyo01
157,Dorian Finney-Smith,71,29.9,.575,.722,5.7,1.6,0.6,0.5,1.0,9.5,finnedo01
158,Bryn Forbes,63,25.1,.544,.833,2.0,1.7,0.5,0.0,0.9,11.2,forbebr01
159,Evan Fournier,66,31.5,.560,.818,2.6,3.2,1.1,0.2,1.9,18.5,fournev01
160,De'Aaron Fox,51,32.0,.513,.705,3.8,6.8,1.5,0.5,3.1,21.1,foxde01
161,Melvin Frazier,19,6.6,.559,.500,0.5,0.2,0.5,0.1,0.3,2.1,frazime01
162,Michael Frazier,13,11.2,.310,.643,0.8,0.2,0.2,0.0,0.4,2.1,frazimi01
163,Tim Frazier,27,13.1,.415,.792,1.2,3.4,0.5,0.1,1.3,3.6,fraziti01
164,Enes Freedom,58,16.9,.573,.707,7.4,1.0,0.4,0.7,1.0,8.1,kanteen01
165,Markelle Fultz,72,27.7,.488,.730,3.3,5.1,1.3,0.2,2.0,12.1,fultzma01
166,Wenyen Gabriel,30,7.8,.500,.682,1.7,0.3,0.4,0.2,0.5,2.1,gabriwe01
166,Wenyen Gabriel,11,5.5,.382,.600,0.9,0.3,0.3,0.2,0.5,1.7,gabriwe01
166,Wenyen Gabriel,19,9.2,.565,.750,2.2,0.3,0.4,0.3,0.6,2.3,gabriwe01
167,Daniel Gafford,43,14.2,.701,.533,2.5,0.5,0.3,1.3,0.7,5.1,gaffoda01
168,Danilo Gallinari,62,29.6,.547,.893,5.2,1.9,0.7,0.1,1.2,18.7,gallida01
169,Langston Galloway,66,25.8,.557,.859,2.3,1.5,0.7,0.2,0.6,10.3,gallola01
170,Darius Garland,59,30.9,.476,.875,1.9,3.9,0.7,0.1,2.6,12.3,garlada01
171,Marc Gasol,44,26.4,.529,.735,6.3,3.3,0.8,0.9,1.3,7.5,gasolma01
172,Rudy Gay,67,21.8,.508,.882,5.4,1.7,0.5,0.5,1.3,10.8,gayru01
173,Paul George,48,29.6,.539,.876,5.7,3.9,1.4,0.4,2.6,21.5,georgpa01
174,Taj Gibson,62,16.5,.591,.732,4.3,0.8,0.4,0.5,0.8,6.1,gibsota01
175,Harry Giles,46,14.5,.554,.776,4.1,1.3,0.5,0.4,1.0,6.9,gilesha01
176,Shai Gilgeous-Alexander,70,34.7,.514,.807,5.9,3.3,1.1,0.7,1.9,19.0,gilgesh01
177,Rudy Gobert,68,34.3,.693,.630,13.5,1.5,0.8,2.0,1.9,15.1,goberru01
178,Brandon Goodwin,34,12.6,.468,.933,2.1,1.5,0.4,0.1,0.9,6.1,goodwbr01
179,Aaron Gordon,62,32.5,.484,.674,7.7,3.7,0.8,0.6,1.6,14.4,gordoaa01
180,Eric Gordon,36,28.2,.473,.766,2.0,1.5,0.6,0.4,1.2,14.4,gordoer01
181,Devonte' Graham,63,35.1,.495,.820,3.4,7.5,1.0,0.2,2.9,18.2,grahade01
182,Treveon Graham,55,16.9,.428,.643,2.7,0.8,0.4,0.1,0.5,4.4,grahatr01
182,Treveon Graham,33,20.1,.411,.730,3.0,0.9,0.5,0.1,0.6,5.2,grahatr01
182,Treveon Graham,22,12.1,.470,.474,2.3,0.7,0.3,0.2,0.5,3.3,grahatr01
183,Jerami Grant,71,26.6,.555,.750,3.5,1.2,0.7,0.8,0.9,12.0,grantje01
184,Jerian Grant,6,13.3,.407,.714,1.0,1.5,0.2,0.2,0.5,4.5,grantje02
185,Josh Gray,2,11.5,.500,,1.0,1.0,0.0,0.0,2.5,1.0,grayjo01
186,Danny Green,68,24.8,.542,.688,3.3,1.3,1.3,0.5,0.9,8.0,greenda02
187,Draymond Green,43,28.4,.446,.759,6.2,6.2,1.4,0.8,2.3,8.0,greendr01
188,JaMychal Green,63,20.7,.560,.750,6.2,0.8,0.5,0.4,0.9,6.8,greenja01
189,Javonte Green,48,9.8,.536,.667,1.9,0.5,0.5,0.2,0.5,3.4,greenja02
190,Jeff Green,48,20.0,.552,.802,2.8,1.0,0.5,0.4,0.9,9.4,greenje02
190,Jeff Green,30,18.4,.472,.778,2.7,0.7,0.4,0.3,0.9,7.8,greenje02
190,Jeff Green,18,22.6,.658,.857,2.9,1.7,0.8,0.5,0.8,12.2,greenje02
191,Blake Griffin,18,28.4,.406,.776,4.7,3.3,0.4,0.4,2.2,15.5,griffbl01
192,Marko Guduric,44,11.0,.475,.923,1.7,1.0,0.3,0.2,0.8,3.9,gudurma01
193,Kyle Guy,3,3.3,.400,,0.3,0.3,0.0,0.0,0.0,1.3,guyky01
194,Rui Hachimura,48,30.1,.489,.829,6.1,1.8,0.8,0.2,1.1,13.5,hachiru01
195,Devon Hall,11,7.4,.267,.500,0.6,1.2,0.4,0.1,0.5,1.8,hallde01
196,Donta Hall,9,14.8,.682,.500,4.2,0.4,0.3,0.7,0.6,4.3,halldo01
196,Donta Hall,4,12.0,.250,.667,3.8,0.5,0.3,0.3,0.5,1.5,halldo01
196,Donta Hall,5,17.0,.778,.417,4.6,0.4,0.4,1.0,0.6,6.6,halldo01
197,Dusty Hannahs,2,6.5,.556,1.000,0.5,0.0,0.0,0.0,0.0,6.0,hannadu01
198,Tim Hardaway Jr.,71,29.5,.550,.819,3.3,1.9,0.6,0.1,1.0,15.8,hardati02
199,James Harden,68,36.5,.543,.865,6.6,7.5,1.8,0.9,4.5,34.3,hardeja01
200,Maurice Harkless,62,23.0,.562,.591,3.9,1.1,0.9,0.5,0.9,5.8,harklma01
200,Maurice Harkless,50,22.8,.578,.571,4.0,1.0,1.0,0.6,0.9,5.5,harklma01
200,Maurice Harkless,12,23.8,.508,.625,3.3,1.7,0.8,0.3,0.6,6.8,harklma01
201,Jared Harper,3,2.7,.250,,0.0,0.0,0.0,0.0,0.0,0.7,harpeja01
202,Montrezl Harrell,63,27.8,.580,.658,7.1,1.7,0.6,1.1,1.7,18.6,harremo01
